haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05930370324,largejuv,balistes capriscus,1,1993,32.26,-79.7
p05930370324,smalljuv,balistes capriscus,0,1993,32.26,-79.7
p05940190324,adult,balistes capriscus,2,1994,32.25,-79.71
p05940190324,largejuv,balistes capriscus,2,1994,32.25,-79.71
p05940190324,smalljuv,balistes capriscus,0,1994,32.25,-79.71
p05940366324,adult,balistes capriscus,3,1994,31.44,-80.35
p05940366324,largejuv,balistes capriscus,2,1994,31.44,-80.35
p05940366324,smalljuv,balistes capriscus,0,1994,31.44,-80.35
p05950154324,adult,balistes capriscus,1,1995,32.25,-79.7
p05950154324,largejuv,balistes capriscus,2,1995,32.25,-79.7
p05950154324,smalljuv,balistes capriscus,0,1995,32.25,-79.7
p05950160324,adult,balistes capriscus,3,1995,32.26,-79.69
p05950160324,largejuv,balistes capriscus,1,1995,32.26,-79.69
p05950160324,smalljuv,balistes capriscus,0,1995,32.26,-79.69
p05950285324,adult,balistes capriscus,2,1995,31.42,-80.37
p05950285324,largejuv,balistes capriscus,1,1995,31.42,-80.37
p05950285324,smalljuv,balistes capriscus,0,1995,31.42,-80.37
p05950298324,adult,balistes capriscus,4,1995,31.44,-80.35
p05950298324,largejuv,balistes capriscus,2,1995,31.44,-80.35
p05950298324,smalljuv,balistes capriscus,0,1995,31.44,-80.35
p05960339324,adult,balistes capriscus,0,1996,32.27,-79.73
p05960339324,largejuv,balistes capriscus,1,1996,32.27,-79.73
p05960339324,smalljuv,balistes capriscus,0,1996,32.27,-79.73
p05960519324,adult,balistes capriscus,0,1996,32.6,-79.22
p05960519324,largejuv,balistes capriscus,1,1996,32.6,-79.22
p05960519324,smalljuv,balistes capriscus,0,1996,32.6,-79.22
p05960536324,adult,balistes capriscus,67,1996,32.34,-79.21
p05960536324,largejuv,balistes capriscus,1,1996,32.34,-79.21
p05960536324,smalljuv,balistes capriscus,0,1996,32.34,-79.21
p05960543324,adult,balistes capriscus,14,1996,32.33,-79.21
p05960543324,largejuv,balistes capriscus,4,1996,32.33,-79.21
p05960543324,smalljuv,balistes capriscus,0,1996,32.33,-79.21
p05960567324,adult,balistes capriscus,11,1996,32.8,-78.78
p05960567324,largejuv,balistes capriscus,5,1996,32.8,-78.78
p05960567324,smalljuv,balistes capriscus,0,1996,32.8,-78.78
p05960570324,adult,balistes capriscus,10,1996,32.79,-78.79
p05960570324,largejuv,balistes capriscus,1,1996,32.79,-78.79
p05960570324,smalljuv,balistes capriscus,0,1996,32.79,-78.79
p05971302324,adult,balistes capriscus,2,1997,32.79,-78.64
p05971302324,largejuv,balistes capriscus,2,1997,32.79,-78.64
p05971302324,smalljuv,balistes capriscus,0,1997,32.79,-78.64
p05981114324,adult,balistes capriscus,3,1998,32.34,-79.21
p05981114324,largejuv,balistes capriscus,2,1998,32.34,-79.21
p05981114324,smalljuv,balistes capriscus,0,1998,32.34,-79.21
p05981237324,adult,balistes capriscus,1,1998,31.43,-80.37
p05981237324,largejuv,balistes capriscus,1,1998,31.43,-80.37
p05981237324,smalljuv,balistes capriscus,0,1998,31.43,-80.37
p05991228324,adult,balistes capriscus,0,1999,27.44,-80.07
p05991228324,largejuv,balistes capriscus,1,1999,27.44,-80.07
p05991228324,smalljuv,balistes capriscus,0,1999,27.44,-80.07
p05991277324,adult,balistes capriscus,4,1999,32.34,-79.21
p05991277324,largejuv,balistes capriscus,1,1999,32.34,-79.21
p05991277324,smalljuv,balistes capriscus,0,1999,32.34,-79.21
p05011024324,adult,balistes capriscus,1,2001,32.59,-79.15
p05011024324,largejuv,balistes capriscus,1,2001,32.59,-79.15
p05011024324,smalljuv,balistes capriscus,0,2001,32.59,-79.15
p05011199324,adult,balistes capriscus,3,2001,31.43,-80.34
p05011199324,largejuv,balistes capriscus,1,2001,31.43,-80.34
p05011199324,smalljuv,balistes capriscus,0,2001,31.43,-80.34
p05020286324,adult,balistes capriscus,8,2002,31.69,-80.33
p05020286324,largejuv,balistes capriscus,6,2002,31.69,-80.33
p05020286324,smalljuv,balistes capriscus,0,2002,31.69,-80.33
p05040001324,adult,balistes capriscus,1,2004,32.34,-79.22
p05040001324,largejuv,balistes capriscus,4,2004,32.34,-79.22
p05040001324,smalljuv,balistes capriscus,0,2004,32.34,-79.22
p05040071324,adult,balistes capriscus,1,2004,31.44,-80.35
p05040071324,largejuv,balistes capriscus,2,2004,31.44,-80.35
p05040071324,smalljuv,balistes capriscus,0,2004,31.44,-80.35
p05060249324,adult,balistes capriscus,0,2006,32.26,-79.71
p05060249324,largejuv,balistes capriscus,1,2006,32.26,-79.71
p05060249324,smalljuv,balistes capriscus,0,2006,32.26,-79.71
p05110565324,adult,balistes capriscus,0,2011,32.6,-79.22
p05110565324,largejuv,balistes capriscus,1,2011,32.6,-79.22
p05110565324,smalljuv,balistes capriscus,0,2011,32.6,-79.22
t59117214324,adult,balistes capriscus,0,2011,32.58,-79.34
t59117214324,largejuv,balistes capriscus,1,2011,32.58,-79.34
t59117214324,smalljuv,balistes capriscus,0,2011,32.58,-79.34
t60164176324,adult,balistes capriscus,0,2016,31.44,-80.33
t60164176324,largejuv,balistes capriscus,1,2016,31.44,-80.33
t60164176324,smalljuv,balistes capriscus,0,2016,31.44,-80.33
t60164181324,adult,balistes capriscus,3,2016,31.43,-80.36
t60164181324,largejuv,balistes capriscus,1,2016,31.43,-80.36
t60164181324,smalljuv,balistes capriscus,0,2016,31.43,-80.36
p05901549324,adult,balistes capriscus,0,1990,32.24,-79.7
p05901549324,largejuv,balistes capriscus,1,1990,32.24,-79.7
